filename, language, Markdown, Dockerfile, JSON, YAML, Go, JavaScript, Ignore, CSS, JavaScript React, XML, HTML, comment, blank, total
server/package-lock.json, JSON, 0, 0, 4934, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4935
server/package.json, JSON, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
server/routes/album.js, JavaScript, 0, 0, 0, 0, 0, 585, 0, 0, 0, 0, 0, 73, 43, 701
server/routes/artist.js, JavaScript, 0, 0, 0, 0, 0, 292, 0, 0, 0, 0, 0, 22, 16, 330
server/routes/chat.js, JavaScript, 0, 0, 0, 0, 0, 222, 0, 0, 0, 0, 0, 17, 11, 250
server/routes/commentSection.js, JavaScript, 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 30, 14, 231
server/routes/following.js, JavaScript, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 10, 6, 91
server/routes/opinion.js, JavaScript, 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 5, 8, 127
server/routes/playlist.js, JavaScript, 0, 0, 0, 0, 0, 382, 0, 0, 0, 0, 0, 91, 32, 505
server/routes/profile.js, JavaScript, 0, 0, 0, 0, 0, 311, 0, 0, 0, 0, 0, 38, 30, 379
server/routes/review.js, JavaScript, 0, 0, 0, 0, 0, 178, 0, 0, 0, 0, 0, 6, 12, 196
server/routes/track.js, JavaScript, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 7, 5, 37
server/routes/user.js, JavaScript, 0, 0, 0, 0, 0, 201, 0, 0, 0, 0, 0, 6, 17, 224
server/server.js, JavaScript, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 18, 18, 129
Total, -, 178, 46, 24755, 72, 870, 8395, 17, 563, 7163, 7, 49, 1489, 1743, 45347
